sampleCode,sampleItemName,constructionNo,color,customerName,customerRequiredWidth,customerRequiredWidth%,customerRequiredLength%,customerRequiredWeight,loomNo,warppingNo,yard,beforeHeatSettingWidth,afterHeatSettingWidth,afterDryerWidth,weavingPPI,afterDryerSkew,sampleIssueDate,finishingDate,afterShrinkageSkew,afterShrinkagePPI,afterShrinkagePPI+,afterWashSkew,afterShrinkageWidth,boxPercentRightHand,boxPercentLeftHand,afterWashWidthPercent,afterWashLengthPercent,afterWashWidth,afterWashPPI,burnnerQnt,m/cSpeed,machineWidthSetting,tempSetting,sampleProcessingDetails
X25273,RNPS075-09R5,"5950x60
20ring(Nishat)+16rsl(yt-161)Nishat+16rsl(yt-165)Nishat(6:2:2)X20-40D T/Raw(Recycle)Xuzhou, 3/1RHT",Indigo#5,Al-Islam Textile/C&A,,,,7.30 oz,319,2509821,103Y,"C:65.5''
F:66''","C:64.6''
F:65.3''","C:62''
F:63''",60,13.0cm,,9/16/2025,8.0cm,68,+8,7.5cm,"C:58.8''
F:59.5''",-0.76%,-1.22%,-12.70%,-1.70%,51.3'',68,8burnner,130m/m,After singieng W + 1'',165°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25270,X25250 (H.S),"4273X55
12ring(Nishat) X 16-70D TR/Raw(Changzhou), 3/1RHT",Blue Black #8D,H&F,,,,,220,2508760,87Y,"C:61.2''
F:62.2''","C:60''
F:61''","C:55''
F:56''",55,11.0cm,,9/9/2025,7.5cm,65,+10,8.0cm,"C:52.7''
F:53.5''",0.74%,-1.05%,-15.90%,-4.00%,44.3'',62,8burnner,30m/m,After Singeing width + 2'',165°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25269,X25252(copy),"4752 X 51
9ring slub(YT-393)Nishat X 12-40D(Nishat, BCI), 3/1RHT",Natural #1,Quazi Abdin Tex ,62''--63'',#-(12-16)%,,11.00oz,409,2509812,100Y,"C:66.8''
F:67.8''","C:66''
F:67''","C:63''
F:64''",51,17.0cm,,9/10/2025,12.0cm,59,+8,12.0cm,"C:62.5''
F:63.5''",-4.34%,3.10%,-15.60%,-1.50%,52.7'',60,8burnner,30m/m,After Singeing width + 1'',165°C,Singeing+Heat Setting+Dryer(odl)+Sanforized
X25268-2,PPI card - 3%(Ok),"4216X41
9rn(Nishat)X7oe(Badsha), 3/1RHT",Grey#03,MKT/STF Trial,65,# -6%,,10.25,211,2505475,60,"C:62''
F:63''","C:64.5''
F:65.5''","C:64.5''
F:65.5''",41,14.5cm,,9/10/2025,10.5cm,43,2,11.5cm,"C:64''
F:65''",0.02%,0.02%,-0.05%,-0.10%,60.8,48,8burnner,28m/m,Dryer Width +  5'',120°C,Singeing+Dryer(1box cold water)+Heat Setting(cold Water)+Sanforized
X25268-1,PPI card - 5%(Not Ok),"4216X41
9rn(Nishat)X7oe(Badsha), 3/1RHT",Grey#03,MKT/STF Trial,65,# -6%,,10.25,211,2505475,60,"C:61.5''
F:62.8''","C:62.6''
F:63.7''","C:61.5''
F:62.8''",41,15.0cm,,9/11/2025,10.5cm,43,2,11.5cm,"C:61.8''
F:62.8''",0.03%,-0.02%,-0.02%,-0.09%,60.6,48,8burnner,28m/m,Dryer Width +  3'',120°C,Singeing+Dryer(1box 50°C)+Heat Setting(cold Water)+Sanforized
X25268-3,OK,"4216X41
9rn(Nishat)X7oe(Badsha), 3/1RHT",Grey#03,MKT/STF Trial,65,# -6%,,10.25,211,2505475,,"C:62''
F:63''","C:64.7''
F:65.7''","C:62''
F:63''",41,14.0cm,,9/15/2025,15.0cm,43,2,13.0cm,"C:64.7''
F:65.7''",1.50%,-2.20%,6.49%,-15.40%,60.5,48,8burnner,28m/m,Dryer Width +  5''/67'',120°C,Singeing+Dryer(1box cold water)+Heat Setting(Cold Water)+Sanforized
X25260,,"4752X50
10rls(Nishat,yt-199)+10rls(yt-233, Nishat)(1:1) X 16-40D(Nishat) + 16-70D(yt-161, Nishat), 3/1RHT",,,,,,,204,2507626,100Y,"C:67''
F:67.8''","C:65.5''
F:66.7''","C:56.7''
F:57.7''",50,15.5cm,,9/5/2025,11.0cm,57,+7,11.0cm,"C:55.5''
F:56.5''",-2.70%,-0.45%,-13.15%,0.00%,48.2'',57,8burnner,28m/m,After Singeing Width + 1'',160°C,Singeing+Heat Setting+Dryer(5box 60°C)+Semi_mercerized+Sanforized
X25258,RNPS100-29R8D,"4273X55
12rn(Nishat) X16-70D(Changzhou) T/Raw 3/1 R.H.T",Blue Black#8D,H&F,52''(cut),,,,123,2508760,90Y,"C:62.2''
F:62.8''","C:59.6''
F:60.5''","C:54.8''
F:55.5''",55,17.5cm,,9/3/2025,12.0cm,65,+10,7.5cm,"C:53''
F:53.8''",-4.50%,-4.20%,16.90%,2.40%,44.0'',62,8burnner,28m/m,After Singeing Width + 1'',160°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
X25252,X25170(copy),"4752x51
9siro slub(7052)Nishat X 12 - 40D (Nishat, BCI), 3/1RHT",Natural #01,Quazi Abdin Tex Ltd./STR,58 '',# - (6--10)%,,11.00oz,504,2508774,100Y,"C:67.6''
F:68.5''","C:66.2''
F:67.2''","C:63''
F:64''",51,15.0cm,,8/31/2025,11.0cm,60,+9,11.0cm,"C:62.7''
F:63.8''",3.30%,2.28%,-14.60%,-0.70%,53.5'',60,8Burnner,30m/m,After Singeing width + 1'',170°C,Singeing+Heat Setting+Dryer(5Box 60°C) + Sanforized 
X25250,RNPS100-29R8D,"4273X55
12ring(Nishat)X16-70D TR/Raw(Changzhou), 3/1RHT",Blue Black#8D,H&F/Philobar,47''--48'',#(13--17)%,,10.00oz,122,2508760,80Y,"C:61''
F:61.8''","C:57.7''
F:58.5''","C:53''
F:53.8''",55,15.5cm,,9/3/2025,12.5cm,64,+9,7.5cm,"C:50.8''
F:51.5''",-6.80%,-3.07%,-19.20%,2.20%,41.0'',62,8burnner,28m/m,After Singeing width + 1'',160°C,Singeing+Heat Setting+Dryer(5box 60°C)+Sanforized
