Sample Code,Sample Item Name,Processing Type,issues Date,Finishing Date,Loom,Warpping No,Yards,Construction,Color,Customer Name,Customer Required Width,Requrie Length %,Required Width-%,Required Weight(OZ),"After 
Weaving PPI","Af. Sanfo 
PPI",PPI(+),"Af. Padding
 Width",Af. Sanfo Width,"Af. Padding
 Skew","Af. Sanfo 
Skew",AF.Wash Skew,"Af. Wash 
PPI","Af. Wash 
Width","Af. Wash 
Width %","Af. Wash 
Length %","Sq. Box %
Right Hand","Sq. Box % 
Left Hand",Sample Processing details
"X25154-1 (Taiwan)
",,"Padding
Natural Black",,7/1/2025,110,2506529,60Y,"4752X41
9oe(Badsha)X10-40D(N.S, Nishat)+10-70D(N.S, Nishat)(1:1), 3/1LHT",Natural + PD#12,Cherng En Enterprice,,,,,41,47,+6,"C:59.5''
F:60''","C:57.8''
F:58.8''",11.5cm,13cm,11.0cm,48,49.0'',15.20%,3.4%,-1.23%,3.08%,"Singeing +Dryer(5box wash 85°)+Dryer(Black Padding 220 GPL) + Sanforized
"
"X25154-2 (Taiwan)
",,"Padding
Natural Black",,7/1/2025,110,2506529,60Y,"4752X41
9oe(Badsha)X10-40D(N.S, Nishat) 3/1LHT",Natural + PD#12,Cherng En Enterprice,,,,,41,46,+5,"C:60''
F:61''","C:59.3''
F:60''",16.0cm,13.0cm,11.5cm,48,51.0'',13.90%,3.3%,1.08%,-1.54%,"Singeing +Dryer(5box wash 85°)+Dryer(Black Padding 220 GPL) + Sanforized
"
X25158-1(Taiwan),,Padding,,7/1/2025,110,2505243,130Y,,,,,,,,41,46,+5,"C:56''
F:57''","C:54.8''
F:55.7''",15.5cm,13.0cm,9.5cm,47,46.5'',-15.14%,-6.0%,0.79%,1.57%,Singeing + Dryer(Paddding 140GPL) + Sanforized
X25158-2(Taiwan),,Padding,,7/1/2025,110,2505243,,,,,,,,,41,45,+4,"C:56.8''
F:57.8''","C:55.5''
F:56.7''",15.5cm,13.0cm,11.0cm,50,48.2'',-13.10%,-5.0%,-0.40%,0.30%,Singeing + Dryer(padding 140GPL) + Sanforized
X25149,RNS-120-02R5,Padding,,6/28/2025,617,2505434,125Y,"3888X42
7ring(Badsha)X8-40D(N.S, Nishat), 3/1RHT",Indigo#5+PD(#5D),Natural Indigo,61''--62'',,# -(10-14)%,12.00 oz,42,48,+6,"C:61.3''
F:62''","C:61.2""
F:62""",14.5cm,13.0cm,15.5cm,49,56.7'',7.30%,-3.0%,-1.34%,-1.49%,"Singeing   +Dryer(5box wash 85°C, speed-30m/m)+ Dryer(Padding 140GPL) +  Sanforized"
"X241562
Tencel",,Padding,,6/28/2025,607,2504350,121Y,,,,,,,,42,48,+6,"C:60.6''
F:61.4'","C:60""
F:60.8""",14.5cm,13.0cm,15.5cm,47,62.0'',3.30%,1.0%,3.21%,0.70%,Singeing   + Dryer(Padding 140GPL) +  Sanforized
X24145,,Padding,,6/28/2025,618,2506536,124Y,"4176X38
8oe Low TM (Salek)X9oe(Badsha), 3/1RHT",Black(9S)+PD(#12B),Natural Denim,63''--64'',,#(3--4)%,10.00 oz,38,45,+7,"C:63.7''
F:64.4'","C:63.8""
F:64.6""",14.0cm,13.5cm,12.0cm,49,48.0'',1.00%,3.0%,-1.40%,-0.70%,"Singeing +Dryer(5box wash 85°C, speed-30m/m)+ Dryer(Black Padding 140GPL) + Sanforized"
X25134,X22258-1,Padding,,6/24/2025,606,2506520,120Y,"4176X40
7ring(Badsha)X7oe(Badsha, CMIA), 3/1RHT",Black 9L + PD#12A,Natural Indigo/Pull&Bear,61''--62'',,# +/-(3--4)%,12.20 oz,40,44,+4,"C:64.8''
F:65.8''","C:64.8''
F:65.5''",15.5cm,14.0cm,13.0cm,46,64.0'',1.20%,2.5%,0.28%,0.00%,"Singeing +Dryer(5box wash 85°C, speed-30 m/m)+Dryer(Black padding 140GPL )+Sanforized"
X23057-1,RN-130-05R12A,padding,,5/31/2025,510,2505452,,"4464X42
7ring(Badsha, Organic, ocs) X 7oe(Badsha), 3/1RHT",,,,,,,42,47,+5,"C:67''
F:68''","C:65.8''
F:66.7''",16.0cm,11.0cm,13.5cm,49,65.3'',0.75%,-2.00%,4.30%,1.00%,Singeing +Dryer(5box 85°C)+ Dryer(Black padding 140GPL )+Sanforized
X22341-2,PR-095-02L12A,Padding,,5/31/2025,123,2505464,105y,"5002X37
10oe(Badsha)X10oe(Badsha), 3/1LHT",Black#9L+PD,Dengyi Sourcing,63''--64'',,#+/-(3--4)%,9.50 oz,37,43,+6,"C:64''
F:64.8''","C:64.1''
F:64.7''",17.5cm,16.5cm,14.0cm,44,63.7'',0.60%,-1.60%,-0.85%,0.00%,Singeing +Dryer(5box 85°C wash)+ Dryer(Black padding 140GPL )+Sanforized
X25108,,Padding,,5/22/2025,122,2505429,105y,"7200x95
20ring(compact)Nishat X 20ring(compact, Nishat)+150-40D/Black (N.S, Hangzhou), SBC(RHT)",black(#9S)+PD(#12B),Sainsbury-Echotex,,,,,95,108,+13,"C:53''
F:54''","C:50''
F:51''",10.0cm,9.0cm,5.5cm,108,44.0'',12.00%,-0.50%,-0.77%,-5.46%,Singeing +Dryer(5box 85°C wash)+ Dryer(Black padding 140GPL )+Sanforized
X24189,SR085-01R12A,Padding,,5/22/2025,613,2505428,120y,"4464X42
10siro(Badsha)X12oe(Badsha, BCI), 3/1RHT",Black + PD(#12A),Windy Group,62'' -- 63'',,# +/-(3--4)%,8.60 oz,42,46,+4,"C:62.5''
F:63.5''","C:63''
F:63.5''",17.0cm,14.0cm,14.0cm,47,63.7'',1.11%,-3.60%,0.85%,1.71%,Singeing + Dryer(Black padding 140GPL )+Sanforized
