Regular sample data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Code,Sample Item Name/Code,Processing type,Construction,Color,Customer,Customer Required Width,Customer Requirement Length(%),Customer Requirement Width(%),Weight B/W,Sample Issue Date,Finishing Date,Loom No,Warpping No,Yard,"After Dryer
 Width(Inch)",Weaving PPI,Dryer Skey(CM),"After Shrinkage 
Skey(CM)","After Shrinkage
 PPI",PPI(+),"After Wash 
Skew(CM)","After Srinkage 
Width(Inch)","Box % 
(Right Hand)","Box % 
(Left Hand)","After Wash 
Width %","After Wash
 Length %","After Wash
 Width(Inch)","After Wash
 PPI",Sample Processing Details,Remarks
,PR055-01R6 ,Reguler Finish(Twill up),,,,,,,,,27/04/2025,222,2502175,103Y,"C:58""
F:58.5""",50,7.5cm,6.5cm,58,8,8.5cm,"C:58.2''
F:59""",2.09%,-1.80%,0.85%,1.00%,58.7'',57,Singeing + Dryer(5box60°C)+Sanforized,
21123-2,RN115-33R5,Regular Finish,,,,,,,,,09/03/2025,505,2503197,120Y,"C:64.5''
F:65''",59,14.5cm,12.5cm,46,-13,13.0cm,"C:64.8''
F:65.8''",1.23%,1.13%,1.25%,0.00%,64.0'',46,singeing + Dryer(5Box 60°C) + Sanforized,
PR-055-01R6,,Regular Finish(Twill Up),"5400X50
20rn(Nishat) X 20rn(Nishat), 2/1RHT",Dark Indigo#6,Welstand,,,,,,21/05/2025,222,2505477,122Y,"C:57.7''
F:58.6''",50,8.0cm,7.5cm,57,7,8.0cm,"C:58.5''
F:59.2''",0.56%,-1.82%,0.00%,0.00%,58.5'',57,Singeing + Dryer(5box60°C)+Sanforized,
PR-100-03L9S,,Regular Finishing,"5002X40
10OE(Badsha)X10OE(Badsha), 3/1 LHT",Black,Warptex,,,,,,21/04/2025,120,2404320,150Y,"C:64''
F:65''",40,16.5cm,12.5cm,47,7,14.0cm,"C:65''
F:65.5''",-2.27%,-1.42%,3.07%,0.00%,63.0'',47,Singeing + Dryer(5box60°C)+Sanforized,
PR-105-06R12A,,Bulk Fabrics(test),,,,,,,,,15/07/2025,,,121Y,"C:64.7''
F:65.5''",38,14.0cm,10.5cm,44,6,,"C:65''
F:65.8''",,,,,,,,
PR-105-06R5,,Bulk Fabrics(test),,,,,,,,,15/07/2025,,,124Y,"C:65.5''
F:66.7''",,14.0cm,11.0cm,46,,,"C:66.4''
F:67''",,,,,,,,
PR-110-08L11,,,,,,,,,,,04/07/2025,110,2506548,123Y,"C:60.7''
F:61.7''",40,7.0cm,9.5cm,45,5,13.0cm,"C:61.1''
F:61.8''",-5.80%,2.80%,-1.80%,-3.00%,60.0'',45,"Singeing + Dryer(old) + Sanforized,
Semi Beleach Desized + wash(NAoH)",
PR-120-02R1,,Regular Finish(1box old Dryer),"4200x43
7oe(Badsha)x10oe(Badsha), 3/1RHT",Natural #01,Mardy Jeans,,,,,,01/02/2025,108,2501084,205Y,"C:61.7''
F:62.5''",43,18.0cm,15.5cm,50,7,16.0cm,"C:61.7''
F:62.5''",-1.50%,0.70%,0.70%,-1.50%,60.0'',51,Singeing + Dryer(1box old Dryer)+sanforized,
PR-125-01L5,,Rregular Finish,"4200x38
7oe(Basha) X 7oe(Badsha), 3/1LHT",Indigo#5,H&F / Carry-poland,,,,,,13/02/2025,305,2502125,125Y,"C:64.5''
F:65.4''",38,15.5cm,14.0cm,44,6,15.5cm,"C:65.5''
F:66.1''",-1.00%,-0.70%,-2.20%,-1.60%,64.0'',44,Singeing+Dryer(5Box60°C)+Sanforized,
PR-137-02R9S,,Regular,"4200X43
7oe(Badsha)x7oe(Badsha), 3/1RHT",Black#9S,TM Group,,,,,,04/07/2025,309,2503194,94Y,"C:59.3''
F:60''",43,16.0cm,12.0cm,51,8,13.0cm,"C:59.5''
F:60.1''",1.40%,0.00%,-0.20%,1.00%,58.0'',50,singeing + Dryer(5Box 60°C) + Sanforized,
